id,nombre
22-43,FRAY JUSTO SANTA MARÍA DE ORO
22-49,GENERAL BELGRANO
22-56,GENERAL DONOVAN
22-63,GENERAL GÜEMES
22-7,ALMIRANTE BROWN
22-70,INDEPENDENCIA
22-77,LIBERTAD
22-84,LIBERTADOR GENERAL SAN MARTÍN
22-91,MAIPÚ
22-98,MAYOR LUIS J. FONTANA
26-105,TELSEN
26-14,CUSHAMEN
26-21,ESCALANTE
26-28,FLORENTINO AMEGHINO
26-35,FUTALEUFÚ
26-42,GAIMAN
26-49,GASTRE
26-56,LANGUIÑEO
26-63,MÁRTIRES
26-7,BIEDMA
26-70,PASO DE INDIOS
26-77,RAWSON
26-84,RÍO SENGUER
26-91,SARMIENTO 
26-98,TEHUELCHES
30-105,VICTORIA
30-113,VILLAGUAY
30-15,CONCORDIA
30-21,DIAMANTE
30-28,FEDERACIÓN
30-35,FEDERAL
30-42,FELICIANO
30-49,GUALEGUAY
30-56,GUALEGUAYCHÚ
30-63,ISLAS DEL IBICUY
30-70,LA PAZ
30-77,NOGOYÁ
30-8,COLÓN
30-84,PARANÁ
30-88,SAN SALVADOR
30-91,TALA
30-98,URUGUAY
34-14,FORMOSA
34-21,LAISHI
34-28,MATACOS
34-35,PATIÑO
34-42,PILAGÁS
34-49,PILCOMAYO
34-56,PIRANÉ
34-63,RAMÓN LISTA
34-7,BERMEJO
38-105,VALLE GRANDE
38-112,YAVI
38-14,EL CARMEN
38-21,DR. MANUEL BELGRANO
38-28,HUMAHUACA
38-35,LEDESMA
38-42,PALPALÁ 
38-49,RINCONADA
38-56,SAN ANTONIO
38-63,SAN PEDRO
38-7,COCHINOCA
38-70,SANTA BÁRBARA
38-77,SANTA CATALINA
38-84,SUSQUES
38-94,TILCARA
38-98,TUMBAYA
42-105,MARACÓ
42-112,PUELÉN
42-119,QUEMÚ QUEMÚ
42-126,RANCUL
42-133,REALICÓ
42-14,CALEU CALEU
42-140,TOAY
42-147,TRENEL
42-154,UTRACÁN
42-21,CAPITAL
42-28,CATRILÓ
42-35,CONHELO
42-42,CURACÓ
42-49,CHALILEO
42-56,CHAPALEUFÚ
42-63,CHICAL CO
42-7,ATREUCÓ
42-70,GUATRACHÉ
42-77,HUCAL
42-84,LIHUEL CALEL
42-91,LIMAY MAHUIDA
42-98,LOVENTUÉ
46-105,INDEPENDENCIA
46-112,ROSARIO VERA PEÑALOZA
46-119,SAN BLAS DE LOS SAUCES
46-126,SANAGASTA
46-14,CAPITAL
46-21,CASTRO BARROS
46-28,CORONEL FELIPE VARELA
46-35,CHAMICAL 
46-42,CHILECITO 
46-49,FAMATINA 
46-56,GENERAL ANGEL V. PEÑALOZA
46-63,GENERAL BELGRANO
46-7,ARAUCO
46-70,GENERAL JUAN F. QUIROGA
46-77,GENERAL LAMADRID
46-84,GENERAL OCAMPO
46-91,GENERAL SAN MARTÍN
46-98,VINCHINA
50-105,SAN RAFAEL
50-112,SANTA ROSA
50-119,TUNUYÁN
50-126,TUPUNGATO
50-14,GENERAL ALVEAR
50-21,GODOY CRUZ
50-28,GUAYMALLÉN
50-35,JUNÍN
50-42,LA PAZ 
50-49,LAS HERAS
50-56,LAVALLE
50-63,LUJÁN DE CUYO
50-7,CAPITAL
50-70,MAIPÚ
50-77,MALARGÜE
50-84,RIVADAVIA
50-91,SAN CARLOS
50-98,SAN MARTÍN
54-105,SAN JAVIER
54-112,SAN PEDRO
54-119,25 DE MAYO
54-14,CAINGUÁS
54-21,CANDELARIA
54-28,CAPITAL
54-35,CONCEPCIÓN 
54-42,ELDORADO
54-49,GENERAL MANUEL BELGRANO
54-56,GUARANÍ
54-63,IGUAZÚ
54-7,APÓSTOLES
54-70,LEANDRO N. ALEM
54-77,LIBERTADOR GRL. SAN MARTÍN
54-84,MONTECARLO
54-91,OBERÁ
54-98,SAN IGNACIO
58-105,PICUNCHES
58-112,ZAPALA 
58-113,ZAPALA 
58-14,AÑELO
58-21,CATÁN LIL
58-28,COLLÓN CURÁ
58-35,CONFLUENCIA
58-42,CHOS MALAL
58-49,HUILICHES
58-56,LÁCAR
58-63,LONCOPUÉ
58-7,ALUMINÉ
58-70,LOS LAGOS
58-77,MINAS
58-84,ÑORQUÍN
58-91,PEHUENCHES
58-98,PICÚN LEUFÚ
62-14,AVELLANEDA
62-21,BARILOCHE
62-28,CONESA
62-35,EL CUY
62-42,GENERAL ROCA
62-49,9 DE JULIO
62-56,ÑORQUINCÓ
62-63,PICHI MAHUIDA
62-7,ADOLFO ALSINA
62-70,PILCANIYEU
62-77,SAN ANTONIO
62-84,VALCHETA
62-91,25 DE MAYO
66-105,LOS ANDES
66-112,METÁN
66-119,MOLINOS
66-126,ORÁN
66-133,RIVADAVIA
66-14,CACHI
66-140,ROSARIO DE LA FRONTERA
66-147,ROSARIO DE LERMA
66-154,SAN CARLOS
66-161,SANTA VICTORIA
66-21,CAFAYATE
66-28,CAPITAL
66-35,CERRILLOS 
66-42,CHICOANA
66-49,GENERAL GÜEMES
66-56,GRL. JOSÉ DE SAN MARTÍN
66-63,GUACHIPAS
66-7,ANTA
66-70,IRUYA
66-77,LA CALDERA
66-84,LA CANDELARIA
66-91,LA POMA
66-98,LA VIÑA
70-105,SARMIENTO
70-112,ULLÚM
70-119,VALLE FÉRTIL
70-126,25 DE MAYO
70-133,ZONDA
70-14,ANGACO
70-21,CALINGASTA
70-28,CAPITAL
70-35,CAUCETE
70-42,CHIMBAS
70-49,IGLESIA
70-56,JÁCHAL
70-63,9 DE JULIO
70-7,ALBARDÓN
70-70,POCITO
70-77,RAWSON
70-84,RIVADAVIA
70-91,SAN MARTÍN
70-98,SANTA LUCÍA
74-14,BELGRANO
74-21,CORONEL PRINGLES
74-28,CHACABUCO
74-35,GENERAL PEDERNERA
74-42,GOBERNADOR DUPUY
74-49,JUNÍN
74-56,LA CAPITAL
74-63,LIBERTADOR GENERAL SAN MARTÍN
74-7,AYACUCHO
78-14,DESEADO
78-21,GÜER AIKE
78-28,LAGO ARGENTINO
78-35,LAGO BUENOS AIRES
78-42,MAGALLANES
78-49,RÍO CHICO
78-7,CORPEN AIKE
82-105,SAN JERÓNIMO
82-112,SAN JUSTO
82-119,SAN LORENZO
82-126,SAN MARTÍN
82-133,VERA
82-14,CASEROS
