anio,provincia_id,categorias,sexo,grupo_edad,cantidad
2019,66,Tumores ,masculino,55-74,371.0
2006,14,Tumores ,masculino,55-74,1445.0
2015,30,Tumores ,masculino,55-74,679.0
2013,30,Tumores ,masculino,55-74,603.0
2008,50,Tumores ,femenino,55-74,514.0
2006,2,Tumores ,femenino,55-74,1430.0
2021,54,Tumores ,femenino,55-74,295.0
2019,30,Tumores ,femenino,55-74,452.0
2017,2,Tumores ,femenino,55-74,1359.0
2017,82,Tumores ,masculino,55-74,1618.0
2008,30,Tumores ,femenino,55-74,368.0
2019,62,Tumores ,masculino,55-74,300.0
2007,42,Tumores ,masculino,55-74,181.0
2015,74,Tumores ,femenino,55-74,132.0
2016,6,Tumores ,masculino,55-74,6753.0
2012,34,Tumores ,femenino,55-74,132.0
2020,62,Tumores ,masculino,55-74,308.0
2022,30,Tumores ,femenino,55-74,424.0
2015,50,Tumores ,femenino,55-74,588.0
2020,62,Tumores ,femenino,55-74,253.0
2009,58,Tumores ,femenino,55-74,145.0
2006,50,Tumores ,femenino,55-74,521.0
2011,14,Tumores ,masculino,55-74,1397.0
2009,82,Tumores ,masculino,55-74,1563.0
2020,70,Tumores ,masculino,55-74,202.0
2005,82,Tumores ,femenino,55-74,1044.0
2011,50,Tumores ,femenino,55-74,559.0
2008,70,Tumores ,masculino,55-74,206.0
2008,14,Tumores ,masculino,55-74,1429.0
2017,90,Tumores ,femenino,55-74,364.0
2019,42,Tumores ,femenino,55-74,125.0
2015,18,Tumores ,femenino,55-74,276.0
2022,22,Tumores ,femenino,55-74,314.0
2014,50,Tumores ,masculino,55-74,688.0
2013,14,Tumores ,femenino,55-74,1064.0
2011,86,Tumores ,femenino,55-74,172.0
2011,6,Tumores ,masculino,55-74,6283.0
2016,38,Tumores ,femenino,55-74,172.0
2006,82,Tumores ,masculino,55-74,1550.0
2008,50,Tumores ,masculino,55-74,608.0
2016,26,Tumores ,masculino,55-74,210.0
2017,26,Tumores ,masculino,55-74,210.0
2015,62,Tumores ,femenino,55-74,219.0
2019,22,Tumores ,masculino,55-74,409.0
2012,18,Tumores ,masculino,55-74,390.0
2016,50,Tumores ,femenino,55-74,651.0
2022,58,Tumores ,femenino,55-74,181.0
2015,50,Tumores ,masculino,55-74,670.0
2019,58,Tumores ,femenino,55-74,189.0
2020,34,Tumores ,masculino,55-74,179.0
2017,30,Tumores ,masculino,55-74,663.0
2017,82,Tumores ,femenino,55-74,1249.0
2015,54,Tumores ,masculino,55-74,351.0
2019,10,Tumores ,masculino,55-74,115.0
2011,2,Tumores ,masculino,55-74,1529.0
2012,14,Tumores ,femenino,55-74,1072.0
2018,6,Tumores ,masculino,55-74,6714.0
2013,38,Tumores ,masculino,55-74,141.0
2020,6,Tumores ,masculino,55-74,6136.0
2019,38,Tumores ,femenino,55-74,176.0
2010,30,Tumores ,masculino,55-74,628.0
2012,22,Tumores ,masculino,55-74,381.0
2017,54,Tumores ,masculino,75 o mas,209.0
2013,2,Tumores ,femenino,75 o mas,1780.0
2017,22,Tumores ,masculino,75 o mas,245.0
2009,82,Tumores ,femenino,75 o mas,1266.0
2006,6,Tumores ,masculino,55-74,6598.0
2012,30,Tumores ,masculino,55-74,635.0
2017,62,Tumores ,masculino,75 o mas,214.0
2019,86,Tumores ,masculino,75 o mas,148.0
2021,70,Tumores ,masculino,75 o mas,159.0
2016,30,Tumores ,femenino,75 o mas,395.0
2014,58,Tumores ,femenino,75 o mas,138.0
2013,82,Tumores ,masculino,75 o mas,1218.0
2020,22,Tumores ,femenino,75 o mas,169.0
2015,38,Tumores ,femenino,75 o mas,93.0
2005,78,Tumores ,femenino,75 o mas,25.0
2012,6,Tumores ,femenino,75 o mas,4630.0
2016,62,Tumores ,masculino,75 o mas,212.0
2011,30,Tumores ,masculino,75 o mas,389.0
2010,2,Tumores ,masculino,55-74,1515.0
2010,82,Tumores ,femenino,75 o mas,1277.0
2012,62,Tumores ,masculino,55-74,247.0
2019,6,Tumores ,masculino,55-74,6670.0
2022,90,Tumores ,masculino,55-74,438.0
2015,58,Tumores ,masculino,55-74,254.0
2008,66,Tumores ,masculino,55-74,279.0
2011,14,Tumores ,femenino,55-74,1040.0
2019,6,Tumores ,femenino,75 o mas,4593.0
2018,2,Tumores ,femenino,55-74,1232.0
2007,18,Tumores ,masculino,75 o mas,202.0
2016,6,Tumores ,femenino,75 o mas,4831.0
2014,26,Tumores ,masculino,75 o mas,140.0
2019,70,Tumores ,masculino,75 o mas,140.0
2012,86,Tumores ,femenino,75 o mas,140.0
2013,74,Tumores ,femenino,75 o mas,104.0
2014,90,Tumores ,masculino,55-74,475.0
2022,82,Tumores ,masculino,75 o mas,1163.0
2011,26,Tumores ,masculino,75 o mas,103.0
2012,74,Tumores ,femenino,55-74,165.0
2010,66,Tumores ,femenino,55-74,248.0
2017,62,Tumores ,femenino,75 o mas,168.0
2014,38,Tumores ,masculino,75 o mas,108.0
2010,66,Tumores ,masculino,55-74,294.0
2005,42,Tumores ,masculino,55-74,192.0
2009,46,Tumores ,masculino,55-74,83.0
2017,66,Tumores ,masculino,75 o mas,252.0
2010,62,Tumores ,femenino,55-74,197.0
2011,34,Tumores ,femenino,55-74,93.0
2021,2,Tumores ,masculino,75 o mas,1144.0
2008,82,Tumores ,masculino,55-74,1596.0
2011,66,Tumores ,masculino,55-74,280.0
2022,86,Tumores ,femenino,75 o mas,151.0
