anio,provincia_id,categorias,sexo,grupo_edad,cantidad
2011,6,Enfermedades del sistema genitourinario ,masculino,0-14,7.0
2015,66,Enfermedades del sistema genitourinario ,masculino,0-14,2.0
2007,6,Enfermedades del sistema genitourinario ,femenino,0-14,9.0
2006,6,Enfermedades del sistema genitourinario ,masculino,0-14,11.0
2018,6,Enfermedades del sistema genitourinario ,femenino,0-14,6.0
2012,2,Enfermedades del sistema genitourinario ,masculino,0-14,2.0
2018,6,Enfermedades del sistema genitourinario ,masculino,0-14,7.0
2015,34,Enfermedades del sistema genitourinario ,masculino,0-14,2.0
2016,6,Enfermedades del sistema genitourinario ,masculino,0-14,4.0
2021,82,Enfermedades del sistema genitourinario ,femenino,0-14,3.0
2005,86,Enfermedades del sistema genitourinario ,femenino,0-14,1.0
2009,22,Enfermedades del sistema genitourinario ,femenino,0-14,4.0
2007,38,Enfermedades del sistema genitourinario ,femenino,0-14,1.0
2019,6,Enfermedades del sistema genitourinario ,masculino,0-14,8.0
2015,34,Enfermedades del sistema genitourinario ,femenino,0-14,1.0
2015,26,Enfermedades del sistema genitourinario ,masculino,0-14,1.0
2009,6,Enfermedades del sistema genitourinario ,femenino,0-14,9.0
2021,18,Enfermedades del sistema genitourinario ,masculino,0-14,2.0
2018,14,Enfermedades del sistema genitourinario ,femenino,0-14,5.0
2013,6,Enfermedades del sistema genitourinario ,masculino,0-14,8.0
2019,14,Enfermedades del sistema genitourinario ,masculino,15-34,8.0
2020,6,Enfermedades del sistema genitourinario ,masculino,15-34,22.0
2015,86,Enfermedades del sistema genitourinario ,masculino,15-34,4.0
2015,6,Enfermedades del sistema genitourinario ,masculino,15-34,28.0
2019,6,Enfermedades del sistema genitourinario ,femenino,15-34,25.0
2005,70,Enfermedades del sistema genitourinario ,femenino,15-34,3.0
2012,6,Enfermedades del sistema genitourinario ,femenino,15-34,23.0
2022,6,Enfermedades del sistema genitourinario ,masculino,15-34,35.0
2021,70,Enfermedades del sistema genitourinario ,femenino,15-34,3.0
2010,30,Enfermedades del sistema genitourinario ,masculino,15-34,1.0
2006,74,Enfermedades del sistema genitourinario ,femenino,15-34,2.0
2015,34,Enfermedades del sistema genitourinario ,femenino,15-34,7.0
2017,66,Enfermedades del sistema genitourinario ,femenino,15-34,8.0
2018,70,Enfermedades del sistema genitourinario ,femenino,15-34,1.0
2020,18,Enfermedades del sistema genitourinario ,masculino,15-34,4.0
2013,6,Enfermedades del sistema genitourinario ,masculino,15-34,18.0
2011,66,Enfermedades del sistema genitourinario ,femenino,15-34,3.0
2018,26,Enfermedades del sistema genitourinario ,femenino,35-54,7.0
2009,34,Enfermedades del sistema genitourinario ,femenino,35-54,5.0
2019,6,Enfermedades del sistema genitourinario ,masculino,35-54,147.0
2010,6,Enfermedades del sistema genitourinario ,masculino,35-54,108.0
2018,82,Enfermedades del sistema genitourinario ,masculino,35-54,29.0
2020,10,Enfermedades del sistema genitourinario ,femenino,35-54,2.0
2006,6,Enfermedades del sistema genitourinario ,masculino,35-54,109.0
2021,82,Enfermedades del sistema genitourinario ,femenino,35-54,27.0
2014,66,Enfermedades del sistema genitourinario ,masculino,35-54,18.0
2009,66,Enfermedades del sistema genitourinario ,femenino,35-54,15.0
2018,82,Enfermedades del sistema genitourinario ,femenino,35-54,21.0
2011,90,Enfermedades del sistema genitourinario ,masculino,35-54,15.0
2019,2,Enfermedades del sistema genitourinario ,masculino,35-54,23.0
2012,34,Enfermedades del sistema genitourinario ,masculino,35-54,6.0
2017,34,Enfermedades del sistema genitourinario ,masculino,35-54,12.0
2019,14,Enfermedades del sistema genitourinario ,femenino,35-54,35.0
2022,2,Enfermedades del sistema genitourinario ,masculino,35-54,22.0
2017,66,Enfermedades del sistema genitourinario ,femenino,35-54,7.0
2017,6,Enfermedades del sistema genitourinario ,masculino,35-54,128.0
2014,2,Enfermedades del sistema genitourinario ,femenino,35-54,18.0
2019,66,Enfermedades del sistema genitourinario ,femenino,35-54,7.0
2012,6,Enfermedades del sistema genitourinario ,femenino,35-54,99.0
2018,34,Enfermedades del sistema genitourinario ,femenino,35-54,9.0
2020,2,Enfermedades del sistema genitourinario ,femenino,35-54,15.0
2011,2,Enfermedades del sistema genitourinario ,masculino,35-54,22.0
2010,2,Enfermedades del sistema genitourinario ,masculino,35-54,14.0
2022,10,Enfermedades del sistema genitourinario ,masculino,35-54,9.0
2021,46,Enfermedades del sistema genitourinario ,masculino,35-54,5.0
2022,6,Enfermedades del sistema genitourinario ,masculino,35-54,165.0
2018,2,Enfermedades del sistema genitourinario ,masculino,35-54,21.0
2006,34,Enfermedades del sistema genitourinario ,masculino,35-54,4.0
2019,50,Enfermedades del sistema genitourinario ,masculino,35-54,11.0
2009,90,Enfermedades del sistema genitourinario ,masculino,35-54,20.0
2010,74,Enfermedades del sistema genitourinario ,masculino,35-54,2.0
2017,26,Enfermedades del sistema genitourinario ,femenino,35-54,6.0
2012,14,Enfermedades del sistema genitourinario ,masculino,35-54,22.0
2016,86,Enfermedades del sistema genitourinario ,masculino,35-54,12.0
2017,50,Enfermedades del sistema genitourinario ,femenino,35-54,10.0
2017,2,Enfermedades del sistema genitourinario ,masculino,35-54,31.0
2012,82,Enfermedades del sistema genitourinario ,masculino,35-54,26.0
2015,6,Enfermedades del sistema genitourinario ,femenino,35-54,99.0
2006,90,Enfermedades del sistema genitourinario ,masculino,35-54,22.0
2019,66,Enfermedades del sistema genitourinario ,masculino,35-54,13.0
2011,62,Enfermedades del sistema genitourinario ,femenino,35-54,3.0
2014,6,Enfermedades del sistema genitourinario ,masculino,35-54,130.0
2006,18,Enfermedades del sistema genitourinario ,femenino,35-54,4.0
2011,46,Enfermedades del sistema genitourinario ,masculino,35-54,6.0
2011,38,Enfermedades del sistema genitourinario ,femenino,35-54,14.0
2013,22,Enfermedades del sistema genitourinario ,masculino,35-54,10.0
2012,50,Enfermedades del sistema genitourinario ,femenino,35-54,11.0
2013,99,Enfermedades del sistema genitourinario ,masculino,35-54,2.0
2017,90,Enfermedades del sistema genitourinario ,femenino,35-54,19.0
2021,14,Enfermedades del sistema genitourinario ,femenino,35-54,32.0
2018,34,Enfermedades del sistema genitourinario ,masculino,35-54,6.0
2007,6,Enfermedades del sistema genitourinario ,femenino,55-74,423.0
2017,90,Enfermedades del sistema genitourinario ,masculino,55-74,134.0
2008,82,Enfermedades del sistema genitourinario ,femenino,55-74,89.0
2011,18,Enfermedades del sistema genitourinario ,femenino,55-74,20.0
2007,70,Enfermedades del sistema genitourinario ,femenino,55-74,19.0
2006,6,Enfermedades del sistema genitourinario ,masculino,55-74,581.0
2017,46,Enfermedades del sistema genitourinario ,femenino,55-74,35.0
2008,74,Enfermedades del sistema genitourinario ,femenino,55-74,14.0
2015,34,Enfermedades del sistema genitourinario ,masculino,55-74,30.0
2006,58,Enfermedades del sistema genitourinario ,masculino,55-74,17.0
2018,74,Enfermedades del sistema genitourinario ,masculino,55-74,17.0
2006,18,Enfermedades del sistema genitourinario ,femenino,55-74,24.0
2007,22,Enfermedades del sistema genitourinario ,masculino,55-74,68.0
2013,34,Enfermedades del sistema genitourinario ,masculino,55-74,11.0
2019,86,Enfermedades del sistema genitourinario ,masculino,55-74,65.0
2014,86,Enfermedades del sistema genitourinario ,femenino,55-74,21.0
2022,86,Enfermedades del sistema genitourinario ,masculino,55-74,65.0
2017,70,Enfermedades del sistema genitourinario ,masculino,55-74,16.0
2021,34,Enfermedades del sistema genitourinario ,masculino,55-74,49.0
2012,2,Enfermedades del sistema genitourinario ,masculino,55-74,144.0
2017,26,Enfermedades del sistema genitourinario ,femenino,55-74,21.0
2020,50,Enfermedades del sistema genitourinario ,masculino,55-74,74.0
2016,86,Enfermedades del sistema genitourinario ,femenino,55-74,27.0
2017,74,Enfermedades del sistema genitourinario ,femenino,55-74,11.0
2014,34,Enfermedades del sistema genitourinario ,masculino,55-74,13.0
2014,82,Enfermedades del sistema genitourinario ,femenino,55-74,141.0
2015,70,Enfermedades del sistema genitourinario ,masculino,55-74,21.0
2021,18,Enfermedades del sistema genitourinario ,masculino,55-74,53.0
2011,46,Enfermedades del sistema genitourinario ,masculino,55-74,13.0
2016,10,Enfermedades del sistema genitourinario ,masculino,55-74,26.0
2020,2,Enfermedades del sistema genitourinario ,femenino,55-74,94.0
2012,18,Enfermedades del sistema genitourinario ,femenino,55-74,23.0
2015,30,Enfermedades del sistema genitourinario ,masculino,55-74,59.0
2007,50,Enfermedades del sistema genitourinario ,masculino,55-74,63.0
2009,70,Enfermedades del sistema genitourinario ,masculino,55-74,10.0
2021,62,Enfermedades del sistema genitourinario ,femenino,55-74,30.0
2016,30,Enfermedades del sistema genitourinario ,femenino,55-74,36.0
2010,14,Enfermedades del sistema genitourinario ,femenino,55-74,102.0
2011,66,Enfermedades del sistema genitourinario ,femenino,55-74,46.0
2018,2,Enfermedades del sistema genitourinario ,masculino,55-74,135.0
2019,66,Enfermedades del sistema genitourinario ,masculino,55-74,65.0
2011,38,Enfermedades del sistema genitourinario ,masculino,55-74,41.0
2018,70,Enfermedades del sistema genitourinario ,femenino,55-74,17.0
2008,38,Enfermedades del sistema genitourinario ,femenino,55-74,29.0
2019,14,Enfermedades del sistema genitourinario ,masculino,55-74,245.0
2022,90,Enfermedades del sistema genitourinario ,masculino,55-74,87.0
2011,70,Enfermedades del sistema genitourinario ,femenino,55-74,13.0
2010,6,Enfermedades del sistema genitourinario ,femenino,55-74,395.0
2006,82,Enfermedades del sistema genitourinario ,masculino,55-74,107.0
2019,6,Enfermedades del sistema genitourinario ,masculino,55-74,879.0
2008,42,Enfermedades del sistema genitourinario ,masculino,55-74,16.0
2008,46,Enfermedades del sistema genitourinario ,masculino,55-74,17.0
2017,6,Enfermedades del sistema genitourinario ,masculino,55-74,747.0
2018,99,Enfermedades del sistema genitourinario ,femenino,55-74,4.0
2015,62,Enfermedades del sistema genitourinario ,femenino,55-74,18.0
2012,70,Enfermedades del sistema genitourinario ,masculino,55-74,17.0
2012,50,Enfermedades del sistema genitourinario ,femenino,55-74,45.0
2011,2,Enfermedades del sistema genitourinario ,masculino,55-74,114.0
2015,66,Enfermedades del sistema genitourinario ,masculino,55-74,75.0
2008,86,Enfermedades del sistema genitourinario ,femenino,55-74,29.0
2015,2,Enfermedades del sistema genitourinario ,femenino,55-74,121.0
2012,34,Enfermedades del sistema genitourinario ,masculino,55-74,20.0
2017,34,Enfermedades del sistema genitourinario ,masculino,55-74,43.0
2014,38,Enfermedades del sistema genitourinario ,masculino,55-74,40.0
2013,6,Enfermedades del sistema genitourinario ,desconocido,55-74,3.0
2012,90,Enfermedades del sistema genitourinario ,femenino,55-74,84.0
2016,42,Enfermedades del sistema genitourinario ,masculino,55-74,19.0
2018,10,Enfermedades del sistema genitourinario ,masculino,55-74,29.0
2009,82,Enfermedades del sistema genitourinario ,femenino,55-74,83.0
2020,26,Enfermedades del sistema genitourinario ,masculino,55-74,28.0
2009,18,Enfermedades del sistema genitourinario ,femenino,55-74,20.0
2012,14,Enfermedades del sistema genitourinario ,femenino,55-74,113.0
2014,6,Enfermedades del sistema genitourinario ,masculino,55-74,653.0
2021,99,Enfermedades del sistema genitourinario ,femenino,55-74,2.0
2018,50,Enfermedades del sistema genitourinario ,masculino,55-74,78.0
2015,90,Enfermedades del sistema genitourinario ,femenino,55-74,128.0
2012,82,Enfermedades del sistema genitourinario ,femenino,55-74,84.0
2015,34,Enfermedades del sistema genitourinario ,femenino,55-74,20.0
2021,66,Enfermedades del sistema genitourinario ,masculino,55-74,83.0
2021,94,Enfermedades del sistema genitourinario ,masculino,55-74,2.0
2016,70,Enfermedades del sistema genitourinario ,masculino,55-74,20.0
2021,82,Enfermedades del sistema genitourinario ,femenino,55-74,193.0
2020,6,Enfermedades del sistema genitourinario ,masculino,55-74,802.0
2021,94,Enfermedades del sistema genitourinario ,femenino,55-74,3.0
2015,6,Enfermedades del sistema genitourinario ,masculino,55-74,815.0
2021,46,Enfermedades del sistema genitourinario ,masculino,55-74,33.0
2022,10,Enfermedades del sistema genitourinario ,femenino,55-74,17.0
2015,14,Enfermedades del sistema genitourinario ,masculino,55-74,174.0
2021,14,Enfermedades del sistema genitourinario ,masculino,55-74,254.0
2010,66,Enfermedades del sistema genitourinario ,masculino,55-74,75.0
2018,90,Enfermedades del sistema genitourinario ,masculino,55-74,97.0
2019,99,Enfermedades del sistema genitourinario ,masculino,55-74,10.0
2021,38,Enfermedades del sistema genitourinario ,femenino,55-74,53.0
2012,6,Enfermedades del sistema genitourinario ,femenino,55-74,468.0
2021,70,Enfermedades del sistema genitourinario ,femenino,55-74,22.0
2014,74,Enfermedades del sistema genitourinario ,femenino,55-74,21.0
2018,14,Enfermedades del sistema genitourinario ,femenino,55-74,177.0
2013,90,Enfermedades del sistema genitourinario ,femenino,55-74,81.0
2019,50,Enfermedades del sistema genitourinario ,masculino,55-74,87.0
2015,74,Enfermedades del sistema genitourinario ,masculino,55-74,23.0
2021,6,Enfermedades del sistema genitourinario ,masculino,55-74,987.0
2014,66,Enfermedades del sistema genitourinario ,masculino,55-74,95.0
2019,2,Enfermedades del sistema genitourinario ,masculino,55-74,130.0
2014,70,Enfermedades del sistema genitourinario ,masculino,55-74,14.0
2018,26,Enfermedades del sistema genitourinario ,femenino,55-74,23.0
2009,50,Enfermedades del sistema genitourinario ,femenino,55-74,53.0
2014,2,Enfermedades del sistema genitourinario ,masculino,55-74,156.0
2013,22,Enfermedades del sistema genitourinario ,masculino,55-74,57.0
2009,26,Enfermedades del sistema genitourinario ,masculino,55-74,12.0
2014,66,Enfermedades del sistema genitourinario ,femenino,55-74,67.0
2008,50,Enfermedades del sistema genitourinario ,femenino,55-74,38.0
2019,26,Enfermedades del sistema genitourinario ,femenino,55-74,23.0
2006,90,Enfermedades del sistema genitourinario ,masculino,55-74,76.0
2021,6,Enfermedades del sistema genitourinario ,femenino,75 o mas,2024.0
2010,30,Enfermedades del sistema genitourinario ,femenino,75 o mas,92.0
2013,34,Enfermedades del sistema genitourinario ,femenino,75 o mas,18.0
2021,26,Enfermedades del sistema genitourinario ,masculino,75 o mas,40.0
2011,42,Enfermedades del sistema genitourinario ,masculino,75 o mas,24.0
2007,90,Enfermedades del sistema genitourinario ,femenino,75 o mas,80.0
2020,82,Enfermedades del sistema genitourinario ,femenino,75 o mas,642.0
2020,14,Enfermedades del sistema genitourinario ,masculino,75 o mas,393.0
2013,86,Enfermedades del sistema genitourinario ,masculino,75 o mas,47.0
2017,74,Enfermedades del sistema genitourinario ,masculino,75 o mas,33.0
2020,94,Enfermedades del sistema genitourinario ,femenino,75 o mas,3.0
2021,6,Enfermedades del sistema genitourinario ,desconocido,75 o mas,50.0
2012,38,Enfermedades del sistema genitourinario ,masculino,75 o mas,41.0
2019,18,Enfermedades del sistema genitourinario ,masculino,75 o mas,39.0
2016,2,Enfermedades del sistema genitourinario ,femenino,75 o mas,800.0
2017,22,Enfermedades del sistema genitourinario ,femenino,75 o mas,86.0
2006,70,Enfermedades del sistema genitourinario ,masculino,75 o mas,30.0
2022,90,Enfermedades del sistema genitourinario ,femenino,75 o mas,129.0
2019,86,Enfermedades del sistema genitourinario ,femenino,75 o mas,65.0
2008,82,Enfermedades del sistema genitourinario ,masculino,75 o mas,215.0
2017,14,Enfermedades del sistema genitourinario ,femenino,75 o mas,432.0
2012,38,Enfermedades del sistema genitourinario ,femenino,75 o mas,46.0
2006,10,Enfermedades del sistema genitourinario ,masculino,75 o mas,13.0
2020,50,Enfermedades del sistema genitourinario ,femenino,75 o mas,151.0
2009,82,Enfermedades del sistema genitourinario ,masculino,75 o mas,263.0
2017,6,Enfermedades del sistema genitourinario ,desconocido,75 o mas,11.0
2015,99,Enfermedades del sistema genitourinario ,masculino,75 o mas,7.0
2016,99,Enfermedades del sistema genitourinario ,femenino,75 o mas,10.0
2021,38,Enfermedades del sistema genitourinario ,masculino,75 o mas,55.0
2022,54,Enfermedades del sistema genitourinario ,masculino,75 o mas,74.0
2016,74,Enfermedades del sistema genitourinario ,masculino,75 o mas,37.0
2018,62,Enfermedades del sistema genitourinario ,femenino,75 o mas,64.0
2019,38,Enfermedades del sistema genitourinario ,femenino,75 o mas,71.0
2012,22,Enfermedades del sistema genitourinario ,femenino,75 o mas,45.0
2014,10,Enfermedades del sistema genitourinario ,femenino,75 o mas,27.0
2006,6,Enfermedades del sistema genitourinario ,femenino,75 o mas,981.0
2005,74,Enfermedades del sistema genitourinario ,femenino,75 o mas,16.0
2013,90,Enfermedades del sistema genitourinario ,masculino,75 o mas,107.0
2010,18,Enfermedades del sistema genitourinario ,femenino,75 o mas,37.0
2007,14,Enfermedades del sistema genitourinario ,femenino,75 o mas,311.0
2014,34,Enfermedades del sistema genitourinario ,femenino,75 o mas,24.0
2009,6,Enfermedades del sistema genitourinario ,masculino,75 o mas,863.0
2016,14,Enfermedades del sistema genitourinario ,masculino,75 o mas,415.0
2005,38,Enfermedades del sistema genitourinario ,masculino,75 o mas,28.0
2018,86,Enfermedades del sistema genitourinario ,masculino,75 o mas,56.0
2021,66,Enfermedades del sistema genitourinario ,femenino,75 o mas,119.0
2010,2,Enfermedades del sistema genitourinario ,femenino,75 o mas,827.0
2017,78,Enfermedades del sistema genitourinario ,femenino,75 o mas,19.0
2022,22,Enfermedades del sistema genitourinario ,masculino,75 o mas,55.0
2005,50,Enfermedades del sistema genitourinario ,femenino,75 o mas,83.0
2019,62,Enfermedades del sistema genitourinario ,masculino,75 o mas,70.0
2005,30,Enfermedades del sistema genitourinario ,femenino,75 o mas,97.0
2006,54,Enfermedades del sistema genitourinario ,femenino,75 o mas,32.0
2022,78,Enfermedades del sistema genitourinario ,masculino,75 o mas,21.0
2011,62,Enfermedades del sistema genitourinario ,masculino,75 o mas,37.0
2011,82,Enfermedades del sistema genitourinario ,femenino,75 o mas,270.0
2021,86,Enfermedades del sistema genitourinario ,masculino,75 o mas,49.0
2007,26,Enfermedades del sistema genitourinario ,masculino,75 o mas,11.0
2010,34,Enfermedades del sistema genitourinario ,femenino,75 o mas,14.0
2006,54,Enfermedades del sistema genitourinario ,masculino,75 o mas,29.0
2009,90,Enfermedades del sistema genitourinario ,femenino,75 o mas,79.0
2022,34,Enfermedades del sistema genitourinario ,femenino,75 o mas,20.0
2017,18,Enfermedades del sistema genitourinario ,femenino,35-54,6.0
2017,26,Enfermedades del sistema genitourinario ,masculino,75 o mas,38.0
2015,30,Enfermedades del sistema genitourinario ,femenino,75 o mas,122.0
2018,30,Enfermedades del sistema genitourinario ,masculino,75 o mas,107.0
2016,38,Enfermedades del sistema genitourinario ,femenino,75 o mas,75.0
2005,42,Enfermedades del sistema genitourinario ,femenino,75 o mas,22.0
2012,30,Enfermedades del sistema genitourinario ,masculino,75 o mas,64.0
2016,30,Enfermedades del sistema genitourinario ,masculino,75 o mas,106.0
2020,6,Enfermedades del sistema genitourinario ,femenino,75 o mas,1646.0
2006,14,Enfermedades del sistema genitourinario ,masculino,35-54,20.0
2015,82,Enfermedades del sistema genitourinario ,femenino,55-74,126.0
2015,94,Enfermedades del sistema genitourinario ,femenino,75 o mas,2.0
2006,82,Enfermedades del sistema genitourinario ,femenino,75 o mas,264.0
2019,2,Enfermedades del sistema genitourinario ,masculino,15-34,4.0
2015,22,Enfermedades del sistema genitourinario ,femenino,55-74,41.0
2019,74,Enfermedades del sistema genitourinario ,masculino,35-54,7.0
2006,38,Enfermedades del sistema genitourinario ,femenino,55-74,26.0
2020,74,Enfermedades del sistema genitourinario ,masculino,75 o mas,31.0
2015,58,Enfermedades del sistema genitourinario ,femenino,75 o mas,38.0
2013,50,Enfermedades del sistema genitourinario ,femenino,75 o mas,132.0
2019,74,Enfermedades del sistema genitourinario ,femenino,75 o mas,52.0
2011,10,Enfermedades del sistema genitourinario ,femenino,75 o mas,27.0
2015,6,Enfermedades del sistema genitourinario ,femenino,15-34,26.0
2019,94,Enfermedades del sistema genitourinario ,femenino,35-54,2.0
2005,2,Enfermedades del sistema genitourinario ,masculino,75 o mas,475.0
2020,82,Enfermedades del sistema genitourinario ,masculino,75 o mas,441.0
2013,62,Enfermedades del sistema genitourinario ,femenino,75 o mas,44.0
2008,70,Enfermedades del sistema genitourinario ,masculino,75 o mas,31.0
2012,26,Enfermedades del sistema genitourinario ,femenino,75 o mas,31.0
2017,46,Enfermedades del sistema genitourinario ,femenino,35-54,6.0
2022,50,Enfermedades del sistema genitourinario ,masculino,75 o mas,162.0
2014,2,Enfermedades del sistema genitourinario ,femenino,55-74,115.0
2018,10,Enfermedades del sistema genitourinario ,femenino,75 o mas,44.0
2007,14,Enfermedades del sistema genitourinario ,masculino,75 o mas,239.0
2009,86,Enfermedades del sistema genitourinario ,femenino,75 o mas,42.0
2009,2,Enfermedades del sistema genitourinario ,femenino,75 o mas,769.0
2011,42,Enfermedades del sistema genitourinario ,femenino,75 o mas,22.0
2016,62,Enfermedades del sistema genitourinario ,femenino,75 o mas,66.0
2010,2,Enfermedades del sistema genitourinario ,masculino,55-74,146.0
2012,42,Enfermedades del sistema genitourinario ,masculino,75 o mas,23.0
2009,78,Enfermedades del sistema genitourinario ,masculino,75 o mas,5.0
2019,38,Enfermedades del sistema genitourinario ,masculino,75 o mas,63.0
2012,62,Enfermedades del sistema genitourinario ,femenino,55-74,14.0
2012,42,Enfermedades del sistema genitourinario ,femenino,75 o mas,25.0
2011,58,Enfermedades del sistema genitourinario ,masculino,75 o mas,24.0
2015,74,Enfermedades del sistema genitourinario ,masculino,35-54,4.0
2016,94,Enfermedades del sistema genitourinario ,femenino,75 o mas,3.0
2007,42,Enfermedades del sistema genitourinario ,femenino,75 o mas,27.0
2014,58,Enfermedades del sistema genitourinario ,femenino,75 o mas,31.0
2017,14,Enfermedades del sistema genitourinario ,masculino,75 o mas,341.0
2011,58,Enfermedades del sistema genitourinario ,femenino,75 o mas,45.0
2019,18,Enfermedades del sistema genitourinario ,femenino,75 o mas,51.0
2018,58,Enfermedades del sistema genitourinario ,femenino,75 o mas,15.0
2016,90,Enfermedades del sistema genitourinario ,masculino,75 o mas,127.0
2008,46,Enfermedades del sistema genitourinario ,femenino,55-74,12.0
2015,50,Enfermedades del sistema genitourinario ,femenino,75 o mas,157.0
2013,58,Enfermedades del sistema genitourinario ,femenino,75 o mas,21.0
2020,26,Enfermedades del sistema genitourinario ,masculino,35-54,13.0
2009,82,Enfermedades del sistema genitourinario ,femenino,35-54,24.0
2018,22,Enfermedades del sistema genitourinario ,masculino,75 o mas,66.0
2012,86,Enfermedades del sistema genitourinario ,femenino,75 o mas,40.0
2022,38,Enfermedades del sistema genitourinario ,femenino,75 o mas,89.0
2016,58,Enfermedades del sistema genitourinario ,masculino,75 o mas,29.0
2011,2,Enfermedades del sistema genitourinario ,femenino,55-74,74.0
2018,18,Enfermedades del sistema genitourinario ,masculino,75 o mas,42.0
2011,14,Enfermedades del sistema genitourinario ,femenino,75 o mas,365.0
2021,2,Enfermedades del sistema genitourinario ,femenino,75 o mas,524.0
2006,18,Enfermedades del sistema genitourinario ,masculino,55-74,43.0
2016,82,Enfermedades del sistema genitourinario ,femenino,75 o mas,538.0
2007,22,Enfermedades del sistema genitourinario ,masculino,35-54,8.0
2011,99,Enfermedades del sistema genitourinario ,masculino,75 o mas,7.0
2012,34,Enfermedades del sistema genitourinario ,femenino,75 o mas,16.0
2018,38,Enfermedades del sistema genitourinario ,femenino,55-74,60.0
2018,30,Enfermedades del sistema genitourinario ,femenino,55-74,39.0
2016,82,Enfermedades del sistema genitourinario ,masculino,75 o mas,413.0
2012,86,Enfermedades del sistema genitourinario ,masculino,75 o mas,35.0
2015,82,Enfermedades del sistema genitourinario ,masculino,75 o mas,392.0
2012,78,Enfermedades del sistema genitourinario ,masculino,75 o mas,6.0
2009,10,Enfermedades del sistema genitourinario ,femenino,55-74,16.0
2011,90,Enfermedades del sistema genitourinario ,femenino,75 o mas,81.0
2010,10,Enfermedades del sistema genitourinario ,femenino,55-74,13.0
2011,30,Enfermedades del sistema genitourinario ,femenino,75 o mas,100.0
2022,18,Enfermedades del sistema genitourinario ,femenino,75 o mas,62.0
2007,74,Enfermedades del sistema genitourinario ,femenino,75 o mas,29.0
2020,30,Enfermedades del sistema genitourinario ,femenino,75 o mas,116.0
2018,2,Enfermedades del sistema genitourinario ,femenino,75 o mas,629.0
2010,82,Enfermedades del sistema genitourinario ,masculino,75 o mas,271.0
2015,2,Enfermedades del sistema genitourinario ,masculino,75 o mas,507.0
2017,6,Enfermedades del sistema genitourinario ,femenino,0-14,8.0
2018,38,Enfermedades del sistema genitourinario ,femenino,0-14,1.0
2013,22,Enfermedades del sistema genitourinario ,femenino,0-14,3.0
2022,6,Enfermedades del sistema genitourinario ,femenino,0-14,14.0
2014,6,Enfermedades del sistema genitourinario ,masculino,0-14,11.0
2011,50,Enfermedades del sistema genitourinario ,femenino,75 o mas,123.0
2008,99,Enfermedades del sistema genitourinario ,femenino,75 o mas,5.0
2021,34,Enfermedades del sistema genitourinario ,femenino,75 o mas,58.0
2007,34,Enfermedades del sistema genitourinario ,masculino,75 o mas,32.0
2005,6,Enfermedades del sistema genitourinario ,masculino,75 o mas,929.0
2020,42,Enfermedades del sistema genitourinario ,masculino,55-74,20.0
2017,38,Enfermedades del sistema genitourinario ,femenino,75 o mas,97.0
2021,42,Enfermedades del sistema genitourinario ,femenino,75 o mas,51.0
2018,66,Enfermedades del sistema genitourinario ,masculino,75 o mas,90.0
2010,90,Enfermedades del sistema genitourinario ,masculino,75 o mas,87.0
2017,62,Enfermedades del sistema genitourinario ,masculino,55-74,35.0
2006,2,Enfermedades del sistema genitourinario ,masculino,75 o mas,406.0
2005,82,Enfermedades del sistema genitourinario ,femenino,35-54,17.0
2006,99,Enfermedades del sistema genitourinario ,femenino,75 o mas,6.0
2013,50,Enfermedades del sistema genitourinario ,masculino,75 o mas,102.0
2021,30,Enfermedades del sistema genitourinario ,masculino,75 o mas,98.0
2009,30,Enfermedades del sistema genitourinario ,femenino,55-74,41.0
2011,82,Enfermedades del sistema genitourinario ,masculino,75 o mas,209.0
2012,6,Enfermedades del sistema genitourinario ,masculino,75 o mas,1190.0
2008,38,Enfermedades del sistema genitourinario ,masculino,35-54,7.0
2017,34,Enfermedades del sistema genitourinario ,femenino,15-34,2.0
2008,30,Enfermedades del sistema genitourinario ,femenino,75 o mas,79.0
2013,99,Enfermedades del sistema genitourinario ,masculino,55-74,2.0
2014,38,Enfermedades del sistema genitourinario ,femenino,75 o mas,54.0
2021,10,Enfermedades del sistema genitourinario ,masculino,75 o mas,36.0
2011,34,Enfermedades del sistema genitourinario ,femenino,75 o mas,13.0
2014,94,Enfermedades del sistema genitourinario ,femenino,75 o mas,5.0
2014,46,Enfermedades del sistema genitourinario ,masculino,75 o mas,18.0
2014,78,Enfermedades del sistema genitourinario ,femenino,75 o mas,15.0
2010,70,Enfermedades del sistema genitourinario ,masculino,75 o mas,41.0
2021,54,Enfermedades del sistema genitourinario ,masculino,55-74,55.0
2022,94,Enfermedades del sistema genitourinario ,masculino,75 o mas,4.0
2014,82,Enfermedades del sistema genitourinario ,masculino,75 o mas,327.0
2012,30,Enfermedades del sistema genitourinario ,femenino,75 o mas,94.0
2005,90,Enfermedades del sistema genitourinario ,masculino,75 o mas,53.0
2015,18,Enfermedades del sistema genitourinario ,masculino,75 o mas,59.0
2017,50,Enfermedades del sistema genitourinario ,femenino,15-34,5.0
2021,90,Enfermedades del sistema genitourinario ,femenino,55-74,79.0
2018,74,Enfermedades del sistema genitourinario ,femenino,75 o mas,23.0
2018,82,Enfermedades del sistema genitourinario ,femenino,55-74,142.0
2022,46,Enfermedades del sistema genitourinario ,masculino,75 o mas,44.0
2015,38,Enfermedades del sistema genitourinario ,femenino,55-74,31.0
